#  This datasets contains the ID's, birthdates, and rookery of observation result 
# for Steller sea lions observed in 2006 on six rookeries in the Russian far east. 
# There are 40 by 
# Notice that when R reads this file it ignores all of these comments.
# It can be useful to include in comment format some of the detailed information regarding your dataset as a header.  
ID	Island	BDay	Age
Br71R	Br	160	17
Tr42006BCh	Br	165	NA
Br84R	Br	180	17
Br90R	Br	157	17
Br479L	Br	160	8
Br603L	Br	172	5
TR10KissBCh	Br	174	NA
Br483L	Br	167	8
Y12L	Br	165	10
Br277L	Br	155	10
Br397L	Br	169	9
Br656L	Br	173	5
Br468L	Br	170	8
T11BCh	Br	170	NA
Br221L	Br	164	10
Br212L	Br	168	10
Br369L	Br	173	9
Br375L	Br	168	9
P402L	Br	159	8
Br535L	Br	160	7
Br216L	Br	176	10
Br225L	Br	171	10
Br242L	Br	158	10
Br310L	Br	163	9
Br237L	Br	168	10
Br599L	Br	170	7
Br475L	Br	163	8
C423L	Br	162	7
Br111R	Br	171	17
Br276L	Br	166	10
Br273L	Br	156	10
Br317L	Br	175	9
Br308L	Br	175	9
Br523L	Br	165	7
Tr72006BCh	Br	169	NA
Br509L	Br	162	7
Br270L	Br	168	10
Br576L	Br	159	7
Br372L	Br	165	9
Br21R	Br	164	17
Lr102R	Lr	152	17
P515L	Lr	166	7
MamLr	Lr	160	NA
Lr159L	Lr	179	10
PseudoNespaLr	Lr	187	NA
Lr125L	Lr	162	10
Lr482L	Lr	183	5
Lr140R	Lr	173	17
Lr317L	Lr	169	7
Gas	Lr	157	NA
EuverdaLr	Lr	162	NA
71F244	Lr	155	NA
Fce	Lr	155	NA
Lr368L	Lr	154	7
Faq	Lr	174	NA
P539L	Lr	156	7
Lr94R	Lr	162	17
Lr93R	Lr	160	17
Lr369L	Lr	160	7
Faf	Lr	184	NA
Pega	Lr	161	NA
Fby	Lr	168	NA
Fah	Lr	159	NA
X996L	Lr	166	NA
Lr187R	Lr	167	17
Geb	Lr	153	NA
Lr265L	Lr	160	9
HahLr	Lr	178	NA
Lr128R	Lr	157	17
PervaLr	Lr	144	NA
RedCollarLr	Lr	157	NA
AlantraLr	Lr	173	NA
DaLr	Lr	189	NA
P556L	Lr	159	7
Lr300L	Lr	160	9
YellowTapeLr	Lr	188	NA
Lr186R	Lr	168	17
Lr87R	Lr	163	17
Lr400L	Lr	154	7
Lr432L	Lr	166	5
Lr342L	Y	147	7
Y303L	Y	170	8
Y496L	Y	164	5
Y490L	Y	168	5
Y330L	Y	160	8
P668L	Y	156	5
Y410L	Y	151	7
FiestaA	Y	159	NA
Tatoo	Y	151	NA
Y52L	Y	187	10
Y433L	Y	163	7
Y476L	Y	162	5
KristyA	Y	185	NA
P564L	Y	161	7
Y419L	Y	161	7
PrincessA	Y	176	NA
Y78L	Y	159	10
Y26L	Y	148	10
Y335L	Y	177	8
Y472L	Y	161	5
Y481L	Y	169	5
UbogayaA	Y	162	NA
Y402L	Y	160	7
Y234L	Y	151	9
Y453L	Y	177	5
Br287L	Y	157	10
Y346L	Y	165	8
SkarletA	Y	164	NA
Y85L	Y	171	10
P261L	Y	164	10
Y502L	Y	173	5
Y300L	Y	171	9
Lr139L	Y	158	10
Tante	Y	177	NA
Y381L	Y	170	8
Y475L	Y	162	5
Y22L	Y	165	10
Y281L	Y	157	9
Y224L	Y	154	9
TvistyA	Y	180	NA
Lov15	P	157	NA
P579L	P	161	7
P637L	P	164	5
LadyP	P	146	NA
P648L	P	161	5
P575L	P	161	7
P282L	P	175	10
P471L	P	166	8
Scar1ray	P	159	NA
P547L	P	171	7
P558L	P	170	7
Lr148L	P	168	10
P494L	P	155	8
P57R	P	158	17
BermudaP	P	167	NA
Travma9ray	P	167	NA
Spot1ray	P	154	NA
P613L	P	174	5
P482L	P	159	8
Lr385L	P	165	7
P366L	P	156	9
P229L	P	169	10
P31R	P	160	17
Travma10ray	P	173	NA
P287L	P	166	10
P25R	P	163	17
P269L	P	155	10
P78R	P	157	17
P516L	P	165	7
P407L	P	171	8
P218L	P	176	10
P400L	P	166	9
P685L	P	172	5
P116R	P	151	17
P216L	P	175	10
P40R	P	162	17
Spot2ray	P	195	NA
MataHariP	P	172	NA
P315L	P	171	9
Lr202L	P	158	9
M307L	M	151	5
D1	M	156	NA
M125L	M	153	8
Margo	M	167	NA
M394L	M	166	5
M176L	M	157	8
M348L	M	158	5
Lera	M	170	NA
Maka	M	167	NA
M2L	M	163	10
M208L	M	151	7
PTn23P	M	156	11
M130L	M	157	8
M101L	M	167	8
M393L	M	171	5
M53L	M	157	10
AA6	M	170	NA
M3	M	170	NA
AC6	M	159	NA
PTn55P	M	169	11
M408L	M	183	4
PTn192P	M	172	13
M443L	M	177	4
M357L	M	158	5
M202L	M	158	7
X5	M	161	NA
U6	M	155	NA
M131L	M	158	8
M266L	M	157	7
M168L	M	151	8
M146L	M	156	8
PTn195P	M	152	13
M185L	M	172	8
M327L	M	177	5
