"Pie"	"Sleep"	"ZOD"
"A"	3.28517320743948	8
"A"	3.30827795454388	7
"A"	3.37993707288257	3
"A"	3.72199106733971	4
"A"	3.78064936470629	3
"A"	3.90759964486989	6
"A"	3.91875983165203	6
"A"	4.23469608417633	1
"A"	4.36214529999422	6
"A"	4.38940723631238	4
"A"	5.49256261189634	2
"A"	5.4385264765073	1
"A"	4.66028706893448	4
"A"	5.08632888303184	0
"A"	4.75599874298387	2
"B"	5.07336537771419	2
"B"	5.00197753904859	3
"B"	5.45909297427038	4
"B"	5.43395957436463	3
"B"	4.63818536342379	6
"B"	5.71554885666633	2
"B"	5.79093985433365	2
"B"	5.80645595521389	5
"B"	5.87624214427801	1
"B"	7.03789466751325	1
"B"	6.98181879890667	4
"B"	6.12215570132954	5
"B"	6.01873108500073	0
"B"	7.28113751801381	1
"B"	7.02294850187316	2
"C"	5.92252076420656	12
"C"	5.98620969785971	10
"C"	6.70105288041612	5
"C"	6.40945302744286	10
"C"	6.28725285846615	9
"C"	7.59854948488248	4
"C"	7.73143225727527	4
"C"	8.08278109934997	0
"C"	8.13503463978298	0
"C"	8.34162090331821	4
"C"	8.3982078721321	4
"C"	8.41305135354858	4
"C"	8.83128169693119	0
"C"	9.31752246093067	7
"C"	10.9460765107895	0
