Week,Cass,CassMaize,CassCowpea,CassMaizeCowpea,WF.Cass,WF.CassMaize,WF.CassCowpea,WF.CassMaizeCowpea
4,0.04,0.03,0.03,0.02,4,3,2,2
6,0.11,0.1,0.09,0.08,7,4,4,3
8,0.18,0.17,0.17,0.16,14,6,5,7
10,0.32,0.27,0.27,0.27,33,13,6,6
12,0.53,0.36,0.35,0.35,28,8,8,8
14,0.64,0.43,0.42,0.41,39,12,10,13
16,0.7,0.47,0.43,0.41,24,7,16,10
18,0.73,0.5,0.43,0.42,14,3,4,4
20,0.75,0.51,0.44,0.42,6,3,4,4
22,0.77,0.6,0.55,0.52,10,4,6,9
24,0.78,0.6,0.56,0.53,8,3,4,8
26,0.79,0.61,0.57,0.54,7,3,4,7
28,0.79,0.61,0.57,0.55,4,4,3,6
