"ID","Treatment","Survival"
"A1","A","Alive"
"A2","A","Alive"
"A3","A","Alive"
"A4","A","Alive"
"A5","A","Alive"
"A6","A","Alive"
"A7","A","Alive"
"A8","A","Alive"
"A9","A","Alive"
"A10","A","Alive"
"A11","A","Alive"
"A12","A","Alive"
"A13","A","Alive"
"A14","A","Alive"
"A15","A","Alive"
"A16","A","Dead"
"A17","A","Alive"
"A18","A","Alive"
"A19","A","Alive"
"A20","A","Alive"
"A21","A","Alive"
"A22","A","Alive"
"A23","A","Alive"
"A24","A","Alive"
"A25","A","Alive"
"A26","A","Alive"
"A27","A","Alive"
"A28","A","Alive"
"A29","A","Alive"
"A30","A","Alive"
"A31","A","Alive"
"A32","A","Alive"
"A33","A","Alive"
"A34","A","Alive"
"A35","A","Alive"
"A36","A","Alive"
"A37","A","Alive"
"A38","A","Alive"
"A39","A","Alive"
"A40","A","Alive"
"A41","A","Alive"
"A42","A","Alive"
"A43","A","Alive"
"A44","A","Alive"
"A45","A","Alive"
"A46","A","Alive"
"A47","A","Alive"
"A48","A","Alive"
"A49","A","Alive"
"A50","A","Alive"
"B1","B","Dead"
"B2","B","Dead"
"B3","B","Alive"
"B4","B","Dead"
"B5","B","Dead"
"B6","B","Alive"
"B7","B","Dead"
"B8","B","Alive"
"B9","B","Alive"
"B10","B","Dead"
"B11","B","Alive"
"B12","B","Dead"
"B13","B","Alive"
"B14","B","Alive"
"B15","B","Alive"
"B16","B","Alive"
"B17","B","Alive"
"B18","B","Alive"
"B19","B","Alive"
"B20","B","Alive"
"B21","B","Dead"
"B22","B","Alive"
"B23","B","Alive"
"B24","B","Alive"
"B25","B","Alive"
"B26","B","Alive"
"B27","B","Dead"
"B28","B","Dead"
"B29","B","Alive"
"B30","B","Dead"
"B31","B","Dead"
"B32","B","Alive"
"B33","B","Alive"
"B34","B","Alive"
"B35","B","Alive"
"B36","B","Alive"
"B37","B","Alive"
"B38","B","Alive"
"B39","B","Alive"
"B40","B","Alive"
"B41","B","Dead"
"B42","B","Alive"
"B43","B","Alive"
"B44","B","Alive"
"B45","B","Alive"
"B46","B","Dead"
"B47","B","Dead"
"B48","B","Alive"
"B49","B","Alive"
"B50","B","Alive"
"C1","C","Alive"
"C2","C","Alive"
"C3","C","Alive"
"C4","C","Alive"
"C5","C","Alive"
"C6","C","Dead"
"C7","C","Alive"
"C8","C","Alive"
"C9","C","Alive"
"C10","C","Alive"
"C11","C","Alive"
"C12","C","Alive"
"C13","C","Alive"
"C14","C","Alive"
"C15","C","Alive"
"C16","C","Alive"
"C17","C","Alive"
"C18","C","Alive"
"C19","C","Alive"
"C20","C","Dead"
"C21","C","Alive"
"C22","C","Alive"
"C23","C","Alive"
"C24","C","Alive"
"C25","C","Dead"
"C26","C","Alive"
"C27","C","Dead"
"C28","C","Alive"
"C29","C","Alive"
"C30","C","Alive"
"C31","C","Alive"
"C32","C","Alive"
"C33","C","Alive"
"C34","C","Alive"
"C35","C","Alive"
"C36","C","Alive"
"C37","C","Alive"
"C38","C","Dead"
"C39","C","Alive"
"C40","C","Alive"
"C41","C","Alive"
"C42","C","Alive"
"C43","C","Alive"
"C44","C","Dead"
"C45","C","Dead"
"C46","C","Alive"
"C47","C","Alive"
"C48","C","Alive"
"C49","C","Alive"
"C50","C","Alive"
"D1","D","Dead"
"D2","D","Alive"
"D3","D","Alive"
"D4","D","Alive"
"D5","D","Alive"
"D6","D","Alive"
"D7","D","Alive"
"D8","D","Dead"
"D9","D","Alive"
"D10","D","Dead"
"D11","D","Alive"
"D12","D","Dead"
"D13","D","Alive"
"D14","D","Alive"
"D15","D","Dead"
"D16","D","Alive"
"D17","D","Alive"
"D18","D","Alive"
"D19","D","Alive"
"D20","D","Alive"
"D21","D","Alive"
"D22","D","Alive"
"D23","D","Dead"
"D24","D","Dead"
"D25","D","Alive"
"D26","D","Alive"
"D27","D","Alive"
"D28","D","Alive"
"D29","D","Dead"
"D30","D","Alive"
"D31","D","Alive"
"D32","D","Alive"
"D33","D","Alive"
"D34","D","Dead"
"D35","D","Dead"
"D36","D","Dead"
"D37","D","Alive"
"D38","D","Alive"
"D39","D","Dead"
"D40","D","Dead"
"D41","D","Alive"
"D42","D","Alive"
"D43","D","Alive"
"D44","D","Alive"
"D45","D","Alive"
"D46","D","Alive"
"D47","D","Dead"
"D48","D","Alive"
"D49","D","Dead"
"D50","D","Alive"
