ID	Age	Year	Birth	Island
Br211L	6	2002	NO	Chirpoev
Br212L	9	2005	YES	Chirpoev
Br212L	10	2006	YES	Chirpoev
Br212L	9	2005	YES	Chirpoev
Br212L	9	2005	YES	Chirpoev
Br212L	9	2005	YES	Chirpoev
Br212L	9	2005	YES	Chirpoev
Br212L	9	2005	YES	Chirpoev
Br212L	9	2005	YES	Chirpoev
Br212L	10	2006	YES	Chirpoev
Br212L	8	2004	YES	Chirpoev
Br212L	11	2007	YES	Chirpoev
Br212L	8	2004	YES	Chirpoev
Br212L	10	2006	YES	Chirpoev
Br212L	10	2006	YES	Chirpoev
Br212L	10	2006	YES	Chirpoev
Br212L	8	2004	YES	Chirpoev
Br212L	10	2006	YES	Chirpoev
Br212L	7	2003	YES	Chirpoev
Br212L	11	2007	YES	Chirpoev
Br212L	11	2007	YES	Chirpoev
Br212L	11	2007	YES	Chirpoev
Br212L	11	2007	YES	Chirpoev
Br212L	11	2007	YES	Chirpoev
Br212L	11	2007	YES	Chirpoev
Br212L	10	2006	YES	Chirpoev
Br212L	6	2002	YES	Chirpoev
Br212L	6	2002	YES	Chirpoev
Br212L	6	2002	YES	Chirpoev
Br212L	6	2002	YES	Chirpoev
Br212L	7	2003	YES	Chirpoev
Br212L	6	2002	YES	Chirpoev
Br212L	8	2004	YES	Chirpoev
Br212L	6	2002	YES	Chirpoev
Br212L	7	2003	YES	Chirpoev
Br212L	7	2003	YES	Chirpoev
Br212L	7	2003	YES	Chirpoev
Br212L	7	2003	YES	Chirpoev
Br212L	7	2003	YES	Chirpoev
Br212L	8	2004	YES	Chirpoev
Br212L	8	2004	YES	Chirpoev
Br212L	8	2004	YES	Chirpoev
Br212L	6	2002	YES	Chirpoev
Br214L	6	2002	NO	Chirpoev
Br216L	11	2007	YES	Chirpoev
Br216L	9	2005	YES	Chirpoev
Br216L	9	2005	YES	Chirpoev
Br216L	9	2005	YES	Chirpoev
Br216L	9	2005	YES	Chirpoev
Br216L	10	2006	YES	Chirpoev
Br216L	10	2006	YES	Chirpoev
Br216L	9	2005	YES	Chirpoev
Br216L	11	2007	YES	Chirpoev
Br216L	10	2006	YES	Chirpoev
Br216L	11	2007	YES	Chirpoev
Br216L	11	2007	YES	Chirpoev
Br216L	11	2007	YES	Chirpoev
Br216L	10	2006	YES	Chirpoev
Br216L	6	2002	YES	Chirpoev
Br216L	8	2004	YES	Chirpoev
Br216L	10	2006	YES	Chirpoev
Br216L	6	2002	YES	Chirpoev
Br216L	6	2002	YES	Chirpoev
Br216L	6	2002	YES	Chirpoev
Br216L	6	2002	YES	Chirpoev
Br216L	8	2004	YES	Chirpoev
Br216L	8	2004	YES	Chirpoev
Br216L	8	2004	YES	Chirpoev
Br216L	8	2004	YES	Chirpoev
Br217L	6	2002	YES	Chirpoev
Br217L	8	2004	YES	Chirpoev
Br217L	8	2004	YES	Chirpoev
Br217L	8	2004	YES	Chirpoev
Br217L	7	2003	YES	Chirpoev
Br217L	6	2002	YES	Chirpoev
Br217L	6	2002	YES	Chirpoev
Br217L	7	2003	YES	Chirpoev
Br217L	7	2003	YES	Chirpoev
Br218L	11	2007	YES	Chirpoev
Br218L	9	2005	NO	Chirpoev
Br218L	9	2005	NO	Chirpoev
Br218L	9	2005	NO	Chirpoev
Br218L	9	2005	NO	Chirpoev
Br218L	10	2006	YES	Chirpoev
Br218L	10	2006	YES	Chirpoev
Br218L	10	2006	YES	Chirpoev
Br218L	11	2007	YES	Chirpoev
Br218L	11	2007	YES	Chirpoev
Br218L	11	2007	YES	Chirpoev
Br218L	8	2004	YES	Chirpoev
Br218L	10	2006	YES	Chirpoev
Br218L	7	2003	YES	Chirpoev
Br218L	7	2003	YES	Chirpoev
Br218L	7	2003	YES	Chirpoev
Br218L	7	2003	YES	Chirpoev
Br218L	8	2004	YES	Chirpoev
Br218L	8	2004	YES	Chirpoev
Br218L	8	2004	YES	Chirpoev
Br221L	9	2005	YES	Chirpoev
Br221L	10	2006	YES	Chirpoev
Br221L	11	2007	YES	Chirpoev
Br221L	11	2007	YES	Chirpoev
Br221L	11	2007	YES	Chirpoev
Br221L	11	2007	YES	Chirpoev
Br221L	10	2006	YES	Chirpoev
Br221L	10	2006	YES	Chirpoev
Br221L	6	2002	YES	Chirpoev
Br221L	9	2005	YES	Chirpoev
Br221L	9	2005	YES	Chirpoev
Br221L	6	2002	YES	Chirpoev
Br221L	6	2002	YES	Chirpoev
Br221L	6	2002	YES	Chirpoev
Br221L	10	2006	YES	Chirpoev
Br221L	9	2005	YES	Chirpoev
Br222L	8	2004	YES	Chirpoev
Br222L	9	2005	YES	Chirpoev
Br222L	9	2005	YES	Chirpoev
Br222L	9	2005	YES	Chirpoev
Br222L	10	2006	NO	Chirpoev
Br222L	10	2006	NO	Chirpoev
Br222L	11	2007	NO	Chirpoev
Br222L	10	2006	NO	Chirpoev
Br222L	8	2004	YES	Chirpoev
Br222L	11	2007	NO	Chirpoev
Br222L	7	2003	NO	Raykoke
Br222L	8	2004	YES	Chirpoev
Br222L	11	2007	NO	Chirpoev
Br222L	7	2003	NO	Raykoke
Br222L	6	2002	YES	Chirpoev
Br222L	6	2002	YES	Chirpoev
Br222L	6	2002	YES	Chirpoev
Br222L	7	2003	NO	Chirpoev
Br222L	7	2003	NO	Chirpoev
Br222L	7	2003	NO	Chirpoev
Br222L	7	2003	NO	Raykoke
Br225L	11	2007	YES	Chirpoev
Br225L	9	2005	YES	Chirpoev
Br225L	9	2005	YES	Chirpoev
Br225L	10	2006	YES	Chirpoev
Br225L	10	2006	YES	Chirpoev
Br225L	10	2006	YES	Chirpoev
Br225L	11	2007	YES	Chirpoev
Br225L	11	2007	YES	Chirpoev
Br225L	9	2005	YES	Chirpoev
Br225L	11	2007	YES	Chirpoev
Br225L	10	2006	YES	Chirpoev
Br225L	11	2007	YES	Chirpoev
Br225L	6	2002	YES	Chirpoev
Br225L	10	2006	YES	Chirpoev
Br225L	6	2002	YES	Chirpoev
Br225L	6	2002	YES	Chirpoev
Br225L	9	2005	YES	Chirpoev
Br225L	6	2002	YES	Chirpoev
Br225L	8	2004	YES	Chirpoev
Br225L	8	2004	YES	Chirpoev
Br225L	8	2004	YES	Chirpoev
Br225L	8	2004	YES	Chirpoev
Br225L	8	2004	YES	Chirpoev
Br225L	9	2005	YES	Chirpoev
Br225L	6	2002	YES	Chirpoev
Br231L	6	2002	NO	Chirpoev
Br235L	6	2002	YES	Chirpoev
Br237L	10	2006	YES	Chirpoev
Br237L	9	2005	YES	Chirpoev
Br237L	9	2005	YES	Chirpoev
Br237L	9	2005	YES	Chirpoev
Br237L	11	2007	YES	Chirpoev
Br237L	10	2006	YES	Chirpoev
Br237L	7	2003	NO	Chirpoev
Br237L	10	2006	YES	Chirpoev
Br237L	10	2006	YES	Chirpoev
Br237L	11	2007	YES	Chirpoev
Br237L	11	2007	YES	Chirpoev
Br237L	11	2007	YES	Chirpoev
Br237L	11	2007	YES	Chirpoev
Br237L	9	2005	YES	Chirpoev
