Species,Colony,Distance,Weight,Headwidth1,Headwidth,Class
Seed,28,0,62,39,1.642,39-40
Seed,28,0,53,39,1.642,39-40
Seed,28,0,51,38,1.6,37-38
Seed,28,0,43,36,1.516,<37
Seed,28,0,65,40,1.684,39-40
Seed,28,0,64,40,1.684,39-40
Seed,28,0,68,40,1.684,39-40
Seed,28,0,45,37,1.558,37-38
Seed,28,0,66,40,1.684,39-40
Seed,28,0,62,39,1.642,39-40
Seed,28,0,49,37,1.558,37-38
Seed,28,0,69,39,1.642,39-40
Seed,28,0,54,35,1.474,<37
Seed,28,0,48,38,1.6,37-38
Seed,28,0,63,40,1.684,39-40
Seed,28,0,62,40,1.684,39-40
Seed,28,0,45,35,1.474,<37
Seed,28,0,58,40,1.684,39-40
Seed,28,0,50,39,1.642,39-40
Seed,28,0,59,40,1.684,39-40
Seed,28,0,37,33,1.389,<37
Seed,28,0,46,38,1.6,37-38
Seed,28,0,48,38,1.6,37-38
Seed,28,0,53,39,1.642,39-40
Seed,28,0,45,38,1.6,37-38
Seed,28,0,54,37,1.558,37-38
Seed,28,0,45,34,1.432,<37
Seed,28,0,40,35,1.474,<37
Seed,28,0,46,35,1.474,<37
Seed,28,5,51,39,1.642,39-40
Seed,28,5,53,38,1.6,37-38
Seed,28,5,61,40,1.684,39-40
Seed,28,5,66,43,1.811,>40
Seed,28,5,45,35,1.474,<37
Seed,28,5,36,35,1.474,<37
Seed,28,5,53,39,1.642,39-40
Seed,28,5,59,42,1.768,>40
Seed,28,5,56,40,1.684,39-40
Seed,28,5,46,38,1.6,37-38
Seed,28,5,54,38,1.6,37-38
Seed,28,5,60,40,1.684,39-40
Seed,28,5,48,36,1.516,<37
Seed,28,5,31,33,1.389,<37
Seed,28,5,46,37,1.558,37-38
Seed,28,5,56,41,1.726,>40
Seed,28,5,38,36,1.516,<37
Seed,28,5,53,37,1.558,37-38
Seed,28,5,44,37,1.558,37-38
Seed,28,5,51,37,1.558,37-38
Seed,28,5,56,40,1.684,39-40
Seed,28,5,45,35,1.474,<37
Seed,28,5,57,40,1.684,39-40
Seed,28,5,65,43,1.811,>40
Seed,28,5,46,37,1.558,37-38
Seed,28,5,38,36,1.516,<37
Seed,28,5,38,36,1.516,<37
Seed,28,5,52,38,1.6,37-38
Seed,28,5,39,37,1.558,37-38
Seed,28,5,41,35,1.474,<37
Seed,23,0,62,37,1.558,37-38
Seed,23,0,51,37,1.558,37-38
Seed,23,0,64,40,1.684,39-40
Seed,23,0,69,39,1.642,39-40
Seed,23,0,61,39,1.642,39-40
Seed,23,0,59,37,1.558,37-38
Seed,23,0,48,35,1.474,<37
Seed,23,0,63,37,1.558,37-38
Seed,23,0,36,33,1.389,<37
Seed,23,0,60,39,1.642,39-40
Seed,23,0,55,37,1.558,37-38
Seed,23,0,45,35,1.474,<37
Seed,23,0,36,33,1.389,<37
Seed,23,0,42,37,1.558,37-38
Seed,23,0,35,34,1.432,<37
Seed,23,0,40,34,1.432,<37
Seed,23,0,72,39,1.642,39-40
Seed,23,0,64,36,1.516,<37
Seed,23,0,42,36,1.516,<37
Seed,23,0,54,39,1.642,39-40
Seed,23,0,57,40,1.684,39-40
Seed,23,0,41,35,1.474,<37
Seed,23,0,63,41,1.726,>40
Seed,23,0,45,39,1.642,39-40
Seed,23,0,59,38,1.6,37-38
Seed,23,0,38,34,1.432,<37
Seed,23,0,51,39,1.642,39-40
Seed,23,0,61,37,1.558,37-38
Seed,23,0,34,32,1.347,<37
Seed,23,5,73,39,1.642,39-40
Seed,23,5,32,33,1.389,<37
Seed,23,5,36,34,1.432,<37
Seed,23,5,66,40,1.684,39-40
Seed,23,5,34,34,1.432,<37
Seed,23,5,48,35,1.474,<37
Seed,23,5,60,35,1.474,<37
Seed,23,5,72,39,1.642,39-40
Seed,23,5,54,36,1.516,<37
Seed,23,5,49,37,1.558,37-38
Seed,23,5,62,37,1.558,37-38
Seed,23,5,62,40,1.684,39-40
Seed,23,5,42,33,1.389,<37
Seed,23,5,73,39,1.642,39-40
Seed,23,5,33,35,1.474,<37
Seed,23,5,46,38,1.6,37-38
Seed,23,5,70,39,1.642,39-40
Seed,23,5,54,35,1.474,<37
Seed,23,5,40,36,1.516,<37
Seed,23,5,80,41,1.726,>40
Seed,23,5,32,33,1.389,<37
Seed,23,5,44,36,1.516,<37
Seed,23,5,48,37,1.558,37-38
Seed,101,0,50,40,1.684,39-40
Seed,101,0,51,37,1.558,37-38
Seed,101,0,57,40,1.684,39-40
Seed,101,0,51,37,1.558,37-38
Seed,101,0,56,40,1.684,39-40
Seed,101,0,60,41,1.726,>40
Seed,101,0,68,41,1.726,>40
Seed,101,0,68,40,1.684,39-40
Seed,101,0,49,38,1.6,37-38
Seed,101,0,65,41,1.726,>40
Seed,101,0,73,42,1.768,>40
Seed,101,0,83,43,1.811,>40
Seed,101,0,72,40,1.684,39-40
Seed,101,0,63,42,1.768,>40
Seed,101,0,69,42,1.768,>40
Seed,101,0,54,35,1.474,<37
Seed,101,0,52,38,1.6,37-38
Seed,101,0,54,38,1.6,37-38
Seed,101,0,44,35,1.474,<37
Seed,101,0,67,43,1.811,>40
Seed,101,0,88,44,1.853,>40
Seed,101,0,61,41,1.726,>40
Seed,101,0,59,41,1.726,>40
Seed,101,0,75,40,1.684,39-40
Seed,101,0,59,41,1.726,>40
Seed,101,0,53,39,1.642,39-40
Seed,101,0,75,44,1.853,>40
Seed,101,0,59,40,1.684,39-40
Seed,101,0,57,41,1.726,>40
Seed,101,5,82,43,1.811,>40
Seed,101,5,72,40,1.684,39-40
Seed,101,5,68,37,1.558,37-38
Seed,101,5,93,42,1.768,>40
Seed,101,5,64,37,1.558,37-38
Seed,101,5,69,39,1.642,39-40
Seed,101,5,68,42,1.768,>40
Seed,101,5,68,40,1.684,39-40
Seed,101,5,57,40,1.684,39-40
Seed,101,5,65,40,1.684,39-40
Seed,101,5,81,41,1.726,>40
Seed,101,5,82,42,1.768,>40
Seed,101,5,88,42,1.768,>40
Seed,101,5,71,41,1.726,>40
Seed,101,5,69,42,1.768,>40
Seed,101,5,67,40,1.684,39-40
Seed,101,5,53,38,1.6,37-38
